A;B;C;D
The image cache was cleaned.;Memorija slika je očišćena.;module;Magento_Backend
An error occurred while clearing the image cache.;Dogodila se greška prilikom čišćenja memorije slika.;module;Magento_Backend
The JavaScript/CSS cache has been cleaned.;JavaScrip/CSS memorija je očišćena.;module;Magento_Backend
An error occurred while clearing the JavaScript/CSS cache.;Dogodila se greška prilikom čišćenja JavaScrip/CSS memorije.;module;Magento_Backend
The static files cache has been cleaned.;Memorija statičnih podataka je očišćena.;module;Magento_Backend
You flushed the cache storage.;Očistili ste zapise memorije.;module;Magento_Backend
The Magento cache storage has been flushed.;Magento memorija je očišćena.;module;Magento_Backend
Cache Management;Upravljanje memorijom;module;Magento_Backend
%1 cache type(s) disabled.;%1 vrsta memorije nije omogućeno.;module;Magento_Backend
An error occurred while disabling cache.;Dogodila se greška prilikom onemogućavanja memorije.;module;Magento_Backend
%1 cache type(s) enabled.;%1 omogućena vrsta/e memorije.;module;Magento_Backend
An error occurred while enabling cache.;Dogodila se greška prilikom omogućavanja memorije.;module;Magento_Backend
%1 cache type(s) refreshed.;%1 vrsta memorije je osveženo;module;Magento_Backend
An error occurred while refreshing cache.;Dogodila se greška prilikom osvežavanja memorije.;module;Magento_Backend
Dashboard;Kontrolna tabla;module;Magento_Backend
We updated lifetime statistic.;Ažurirali smo ukupnu statistiku.;module;Magento_Backend
We can't refresh lifetime statistics.;Ne možemo osvežiti ukupnu statisku.;module;Magento_Backend
invalid request;neispravan zahtev;module;Magento_Backend
see error log for details;pogledajte zapisnik o greškama radi detalja;module;Magento_Backend
Service unavailable: %1;Usluga nedostupna: %1;module;Magento_Backend
Error;Greška;module;Magento_Backend
Access Denied.;Pristup odbijen.;module;Magento_Backend
You need more permissions to do this.;Nemate ovlašćenja da to učinite.;module;Magento_Backend
No search modules were registered;Nijedan modul za pretraživanje nije registrovan;module;Magento_Backend
Please make sure that all global admin search modules are installed and activated.;"Molimo uverite se da su svi globalni adimini za pretraživanje modula instalirani i aktivni."""",module,Magento_Backend";module;Magento_Backend
You saved the account.;Spremili ste korisnički račun.;module;Magento_Backend
An error occurred while saving account.;Dogodila se greška prilikom spremanja korisničkog računa.;module;Magento_Backend
You deleted the design change.;Izbrisali ste promjenu dizajna.;module;Magento_Backend
You can't delete the design change.;Ne možete obrisati promjenu dizajna.;module;Magento_Backend
Store Design;Dizajn trgovine;module;Magento_Backend
Edit Store Design Change;Uredite dizajn trgovine;module;Magento_Backend
You saved the design change.;Spremili ste promjenu dizajna.;module;Magento_Backend
System;Sistem;module;Magento_Backend
Manage Stores;Upravljanje prodavnicama;module;Magento_Backend
The database was backed up.;Napravljena je sigurnosna kopija baze podataka.;module;Magento_Backend
We can't create a backup right now. Please try again later.;Trenutno nismo u mogućnosti stvoriti sigurnosnu kopiju. Molimo Vas pokušajte kasnije.;module;Magento_Backend
Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.;Brisanjem %1 neće obrisati informacije povezane s %1 (npr. kategorije, proizvode, itd.), ali %1 neće biti moguće obnoviti. Preporučamo da stvorite sigurnosnu kopiju baze podataka pre brisanja %1.;module;Magento_Backend
Something went wrong. Please try again.;Nešto je pošlo po zlu. Molimo pokušajte kasnije.;module;Magento_Backend
This store cannot be deleted.;Ova prodavnica ne može biti obrisana.;module;Magento_Backend
You deleted the store.;Obrisali ste prodavnicu.;module;Magento_Backend
Unable to delete the store. Please try again later.;Nije moguće obrisati prodavnicu. Molimo pokušajte kasnije.;module;Magento_Backend
This store view cannot be deleted.;Ovaj pregled prodavnice ne može biti obrisan.;module;Magento_Backend
Store View;Pregled prodavnice;module;Magento_Backend
You deleted the store view.;Obrisali ste pregled prodavnice.;module;Magento_Backend
Unable to delete the store view. Please try again later.;Nije moguće obrisati pregled prodavnice. Molimo pokušajte kasnije.;module;Magento_Backend
This website cannot be deleted.;Ova web stranica ne može biti obrisana.;module;Magento_Backend
You deleted the website.;Obrisali ste web stranicu.;module;Magento_Backend
Unable to delete the website. Please try again later.;Nije moguće obrisati web stranicu. Molimo pokušajte kasnije.;module;Magento_Backend
The website does not exist.;Web stranica ne postoji.;module;Magento_Backend
Before modifying the website code please make sure it is not used in index.php.;Prije menjanja koda web stranice, molimo proverite da se ne koristi u index.php.;module;Magento_Backend
The store does not exist;Prodavnica ne postoji;module;Magento_Backend
Store view doesn't exist;Naslovna prodavnice ne postoji;module;Magento_Backend
Before modifying the store view code please make sure it is not used in index.php.;Pre prilagođavanja koda pogleda prodavnice molimo proverite da nije korišten u index.php;module;Magento_Backend
New;Novo;module;Magento_Backend
You saved the website.;Spremili ste web stranicu;module;Magento_Backend
An inactive store view cannot be saved as default store view;Neaktivna naslovna prodavnice ne može biti spremljena kao zadata naslovna;module;Magento_Backend
You saved the store.;Spremili ste prodavniu.;module;Magento_Backend
The default store cannot be disabled;Zadana prodavnica ne može biti onesposobljena;module;Magento_Backend
You saved the store view.;Spremili ste naslovnu;module;Magento_Backend
Something went wrong while saving. Please review the error log.;Došlo je do greške. Molimo pogledajte zapise o grešci.;module;Magento_Backend
Last 24 Hours;Posljednja 24 sata;module;Magento_Backend
Last 7 Days;Zadnjih 7 dana;module;Magento_Backend
Current Month;Trenutni mjesec;module;Magento_Backend
YTD;YTD;module;Magento_Backend
2YTD;2YTD;module;Magento_Backend
Authentication storage is incorrect.;Autorizacija zapisa je netačna.;module;Magento_Backend
You did not sign in correctly or your account is temporarily disabled.;Niste se prijavili tačno ili je Vaš korisnički račun trenutno onesposobljen.;module;Magento_Backend
Authentication error occurred.;Dogodila se greška prilikom autorizacije.;module;Magento_Backend
Admin session lifetime must be less than or equal to 31536000 seconds (one year);Trajanje admin sesije mora biti manja ili jednaka 31536000 sekundi (jedna godina);module;Magento_Backend
Admin session lifetime must be greater than or equal to 60 seconds;Trajanje admin sesije mora biti veća ili jednaka 60 sekundi;module;Magento_Backend
Order;Narudžbina;module;Magento_Backend
Order #%1;Narudžbina #%1;module;Magento_Backend
Access denied;Pristup odbijen;module;Magento_Backend
Please try to sign out and sign in again.;Molimo pokušajte se odjaviti i prijaviti ponovno.;module;Magento_Backend
If you continue to receive this message, please contact the store owner.;Ako nastavite dobijati ovu poruku, molimo kontaktirajte vlasnika prodavnice.;module;Magento_Backend
You need more permissions to access this.;Nemate ovlašćenja za pristup.;module;Magento_Backend
Welcome, please sign in;Dobrodošli, molimo da se prijavite.;module;Magento_Backend
Username;Korisničko ime;module;Magento_Backend
user name;korisničko ime;module;Magento_Backend
Password;Lozinka;module;Magento_Backend
password;lozinka;module;Magento_Backend
Sign in;Prijavite se;module;Magento_Backend
Select Range:;Odaberite opseg:;module;Magento_Backend
No Data Found;Nema pronađenih podataka;module;Magento_Backend
"Chart is disabled. To enable the chart, click <a href=""%1"">here</a>.";"Grafikon je onemogućen. Za omogućavanje grafikona, kliknite <a href=""""""""%1"""""""">ovde</a>.";module;Magento_Backend
Last Orders;Poslednje narudžbine;module;Magento_Backend
Last Search Terms;Poslednji pretraživani pojmovi;module;Magento_Backend
Top Search Terms;Najčešće pretraživani pojmovi;module;Magento_Backend
There are no search keywords.;Nema pretraživanih ključnih riječi.;module;Magento_Backend
View Statistics For:;Pregledaj statistiku za:;module;Magento_Backend
All Websites;Sve web stranice;module;Magento_Backend
Reload Data;Ponovo učitajte podatke;module;Magento_Backend
Browse Files...;Pretražite datoteke...;module;Magento_Backend
Magento;Magento;module;Magento_Backend
"Copyright &copy; %1 Magento Commerce Inc. All rights reserved.";"Autorsko pravo &copy; %1 Avalapress d.o.o.  Sva prava pridržana.";module;Magento_Backend
ver. %1;ver. %1;module;Magento_Backend
Magento Admin Panel;Magento admin naslovna;module;Magento_Backend
Account Setting;Podešavanja korisničkog računa;module;Magento_Backend
Customer View;Pregled za korisnike;module;Magento_Backend
Sign Out;Odjavite se;module;Magento_Backend
About the calendar;O kalendaru;module;Magento_Backend
Close;Zatvoriti;module;Magento_Backend
Go Today;Danas;module;Magento_Backend
Previous;Prethodno;module;Magento_Backend
Next;Sledeće;module;Magento_Backend
WK;WK;module;Magento_Backend
Time;Vreme;module;Magento_Backend
Hour;Sat;module;Magento_Backend
Minute;Minute;module;Magento_Backend
JavaScript may be disabled in your browser.;JavaScript nije omogućen u Vašem pretraživaču.;module;Magento_Backend
To use this website you must first enable JavaScript in your browser.;Kako bi koristini ovu web stranicu morate prvo omogućiti JavaScript u vašem pretraživaču.;module;Magento_Backend
This is only a demo store. You can browse and place orders, but nothing will be processed.;Ovo je samo demo prodavnica. Možete pretraživati i postaviti narudžbinu, ali ništa neće biti obrađeno. Sami možete unositi gramatičke i pravopisne promjene u svojoj trgovini. ;module;Magento_Backend
Report Bugs;Prijavite greške;module;Magento_Backend
Store View:;Pregled prodavnice:;module;Magento_Backend
Stores Configuration;Konfiguracija prodavnice;module;Magento_Backend
Please confirm scope switching. All data that hasn't been saved will be lost.;Molimo da potvrdite prebacivanje područja. Svi podaci koji nisu spremljeni biće izgubljeni.;module;Magento_Backend
Additional Cache Management;Dodatno upravljanje memorije.;module;Magento_Backend
Flush Catalog Images Cache;Očistite memoriju slika iz kataloga;module;Magento_Backend
Pregenerated product images files;Unapred generisane slike proizvoda;module;Magento_Backend
Flush JavaScript/CSS Cache;Očistite JavaScript/CSS memoriju;module;Magento_Backend
Themes JavaScript and CSS files combined to one file;Teme JavaScript and CSS datoteke spoji u jednu datoteku;module;Magento_Backend
Flush Static Files Cache;Očistite statičke datoteke memorije;module;Magento_Backend
Preprocessed view files and static files;Pre obrađene datoteke pregleda i statičke datoteke;module;Magento_Backend
Catalog;Katalog;module;Magento_Backend
JavaScript/CSS;JavaScript/CSS;module;Magento_Backend
JavaScript/CSS Cache;JavaScript/CSS memorija;module;Magento_Backend
No records found.;Nema pronađenih zapisa.;module;Magento_Backend
Images;Slike;module;Magento_Backend
Big Image;Velika slika;module;Magento_Backend
Thumbnail;Sličica;module;Magento_Backend
Additional Settings;Dodatna podešavanja;module;Magento_Backend
records found;pronađeni zapisi;module;Magento_Backend
selected;odabrano;module;Magento_Backend
per page;po stranici;module;Magento_Backend
Previous page;Prethodna stranica;module;Magento_Backend
of %1;od %1;module;Magento_Backend
Next page;Sledeća stranica;module;Magento_Backend
Export to:;Izvezi:;module;Magento_Backend
Actions;Radnje;module;Magento_Backend
Mass Actions;Sveobuhvatne radnje;module;Magento_Backend
Unselect All;Poništi sve;module;Magento_Backend
Select Visible;Odaberite vidljivo;module;Magento_Backend
Unselect Visible;Poništite vidljivo;module;Magento_Backend
Changes have been made to this section that have not been saved.;Promjene su napravljene za ovaj deo koji nije spremljen.;module;Magento_Backend
This tab contains invalid data. Please resolve this before saving.;Ova kartica sadrži nevažeće podatke. Molimo rešite ovo pre spremanja.;module;Magento_Backend
The information in this tab has been changed.;Informacija u ovoj kartici je promenjena;module;Magento_Backend
Loading...;Učitavanje...;module;Magento_Backend
System Backup;Sigurnosna kopija sistema;module;Magento_Backup
Database and Media Backup;Sigurnosna kopija baze podataka i medija;module;Magento_Backup
Database Backup;Sigurnosna kopija baze podataka;module;Magento_Backup
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.";"Arhiva može biti otpakovana sa <a href=""""%1"""">%2</a> na Windows sistemima.";module;Magento_Backup
You need more permissions to activate maintenance mode right now.;Trebate viša ovlašćenja za aktiviranje načina održavanja.;module;Magento_Backup
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.";"Za izradu sigurnosne kopije, molimo poništite izbor """"Postavite trgovinu u način održavanja"""" ili ažurirajte svoja ovlašćenja.";module;Magento_Backup
Something went wrong while putting your store into maintenance mode.;Došlo je do greške prilikom postavljanja Vaše prodavnice u način održavanja.;module;Magento_Backup
You need more free space to create a backup.;Trebate više slobodnog prostora za kreiranje sigurnosne kopije.;module;Magento_Backup
You need more permissions to create a backup.;Trebate viša ovlašćenja za stvaranje sigurnosne kopije.;module;Magento_Backup
